Date,Actual_Close,Actual_Next_Close,Predicted_Next_Close,Prediction_Error_Absolute,Prediction_Error_Percentage,Actual_Direction,Predicted_Direction,Direction_Correct
2016-06-06,26806.725844341097,26726.005481458567,26763.258,37.252331041432626,0.13938607872873784,0,0,1
2016-06-07,26726.005481458567,27041.35997910332,26792.828,248.53185410331935,0.9190804541464507,1,1,1
2016-06-08,27041.35997910332,27161.27267993437,26976.344,184.92892993436908,0.6808551724123993,1,0,0
2016-06-09,27161.27267993437,27324.272510153427,27044.998,279.274463278427,1.0220746523979785,1,0,0
2016-06-10,27324.272510153427,27644.54912719971,27353.082,291.4670959497089,1.0543383963637587,1,1,1
2016-06-13,27644.54912719971,27756.761873438954,27687.271,69.49038906395435,0.2503548122104661,1,1,1
2016-06-14,27756.761873438954,27820.60917792051,27704.604,116.00566229550896,0.4169774340799678,1,0,0
2016-06-15,27820.60917792051,27949.708545454418,27797.383,152.32573295441762,0.5449993609296188,1,0,0
2016-06-16,27949.708545454418,27969.31578866347,27975.668,6.352180086531007,0.02271124590436236,1,1,1
2016-06-17,27969.31578866347,27815.2641896278,27837.57,22.30612287219992,0.08019381991172238,0,0,1
2016-06-20,27815.2641896278,27420.94141400537,27687.283,266.34178911962954,0.9713079689656252,0,0,1
2016-06-21,27420.94141400537,27561.038308122068,27623.064,62.026145002932026,0.2250501026467254,1,1,1
2016-06-22,27561.038308122068,27338.621968135867,27663.59,324.96787561413294,1.1886768689105636,0,1,0
2016-06-23,27338.621968135867,28536.821237290256,27924.812,612.0087372902562,2.1446282758729933,1,1,1
2016-06-24,28536.821237290256,28860.86710636096,28734.504,126.36320011096177,0.4378357713414342,1,1,1
2016-06-27,28860.86710636096,28722.34897082402,28850.145,127.79556042598051,0.4449342237147611,0,0,1
2016-06-28,28722.34897082402,28818.21030923702,28758.93,59.28062173701983,0.2057054241082375,1,1,1
2016-06-29,28818.21030923702,28575.987533557967,28651.064,75.07691956703275,0.2627272967517459,0,0,1
2016-06-30,28575.987533557967,29009.16294662645,28837.291,171.8719310014494,0.5924746305768083,1,1,1
2016-07-01,29009.16294662645,29321.566963608268,29068.83,252.73688548326754,0.8619487689622646,1,1,1
2016-07-05,29321.566963608268,29588.25248170485,29323.598,264.65482545485065,0.8944591290698676,1,1,1
2016-07-06,29588.25248170485,29473.26447527256,29466.588,6.676584647560958,0.022653020513429958,0,0,1
2016-07-07,29473.26447527256,29439.29110450183,29376.654,62.63680762682998,0.21276601873491313,0,0,1
2016-07-08,29439.29110450183,29245.561746191503,29224.705,20.856668066502607,0.07131566918600447,0,0,1
2016-07-11,29245.561746191503,28800.040252166524,29016.084,216.04373220847629,0.7501507995018308,0,0,1
2016-07-12,28800.040252166524,28860.53346922944,28926.334,65.8005151455618,0.22799479855671098,1,1,1
2016-07-13,28860.53346922944,28680.101346080897,28747.879,67.7775601691028,0.23632259646238848,0,0,1
2016-07-14,28680.101346080897,28505.04596950664,28673.227,168.18059299336164,0.5900028829045684,0,0,1
2016-07-15,28505.04596950664,28671.869614326115,28673.912,2.04249504888503,0.007123689791978134,1,1,1
2016-07-18,28671.869614326115,28741.34586096552,28683.645,57.70132971552084,0.20076070896139467,1,1,1
2016-07-19,28741.34586096552,28495.617496980107,28711.652,216.0348467698932,0.7581335859550614,0,0,1
2016-07-20,28495.617496980107,28730.45496604245,28832.281,101.82628395755091,0.3544193229028327,1,1,1
2016-07-21,28730.45496604245,28566.40607849548,28498.062,68.34357849548178,0.23924458088177275,0,0,1
2016-07-22,28566.40607849548,28480.972259203525,28704.672,223.69961579647497,0.7854353206786584,0,1,0
2016-07-25,28480.972259203525,28621.166427464366,28465.79,155.37736496436628,0.542875725761019,1,0,0
2016-07-26,28621.166427464366,28697.418233014698,28664.824,32.59401426469776,0.11357821111308283,1,1,1
2016-07-27,28697.418233014698,28726.062833899898,28740.791,14.728181725102331,0.05127114638112351,1,1,1
2016-07-28,28726.062833899898,29061.84690737159,28841.916,219.93089174658962,0.7567684615763486,1,1,1
2016-07-29,29061.84690737159,28957.57054848404,28986.36,28.788826515959954,0.09941727144464155,0,0,1
2016-08-01,28957.57054848404,29281.313425441807,28940.314,340.99897231680734,1.164561737249538,1,0,0
2016-08-02,29281.313425441807,29070.48814739859,29134.613,64.12513385140846,0.2205849916460614,0,0,1
2016-08-03,29070.48814739859,29165.06561172469,29026.068,138.99725234969083,0.47658816955931116,1,0,0
2016-08-04,29165.06561172469,28719.078312053483,29000.312,281.2341879465166,0.9792591004861106,0,0,1
2016-08-05,28719.078312053483,28652.03462107802,28847.951,195.91655079698103,0.6837788428918552,0,1,0
2016-08-08,28652.03462107802,28754.716027036706,28645.135,109.58126141170578,0.3810897012812496,1,0,0
2016-08-09,28754.716027036706,28863.778439251266,28684.592,179.1866423762658,0.6208010595473306,1,0,0
2016-08-10,28863.778439251266,28814.34121307106,28918.348,104.00644317893966,0.36095374317202567,0,1,0
2016-08-11,28814.34121307106,28662.80608385629,28817.777,154.97125989371125,0.5406702311013278,0,1,0
2016-08-12,28662.80608385629,28828.13838702765,28778.492,49.64619952765133,0.17221437909425183,1,1,1
2016-08-15,28828.13838702765,29032.460342039856,28829.922,202.5384670398562,0.6976276369749296,1,1,1
2016-08-16,29032.460342039856,28861.66921075392,28947.938,86.2682892460798,0.2989026331641832,0,0,1
2016-08-17,28861.66921075392,29065.14665492846,28943.312,121.83415492845961,0.41917612312408786,1,1,1
2016-08-18,29065.14665492846,28795.986313108908,29002.72,206.73439001609222,0.7179277964928734,0,0,1
2016-08-19,28795.986313108908,28870.231233493185,28917.984,47.753141506815155,0.16540616221810986,1,1,1
2016-08-22,28870.231233493185,28958.636513626217,28856.242,102.39432612621749,0.3535882156538579,1,0,0
2016-08-23,28958.636513626217,28584.2546069778,28850.574,266.3196117722,0.931700390421193,0,0,1
2016-08-24,28584.2546069778,28504.182913307643,28678.436,174.2526335673574,0.6113230261583984,0,1,0
2016-08-25,28504.182913307643,28468.81103907227,28533.568,64.75732030273139,0.2274675967811042,0,1,0
2016-08-26,28468.81103907227,28551.455325447365,28535.14,16.314700447364885,0.057141397037032665,1,1,1
2016-08-29,28551.455325447365,28293.28228686396,28414.006,120.7235725110404,0.4266863465575717,0,0,1
2016-08-30,28293.28228686396,28205.129150877685,28270.082,64.95288037231512,0.23028747723459342,0,0,1
2016-08-31,28205.129150877685,28255.42618667119,28224.318,31.107827296189498,0.11009505604577949,1,1,1
2016-09-01,28255.42618667119,28391.367070891763,28240.734,150.63269589176343,0.5305580936474156,1,0,0
2016-09-02,28391.367070891763,28833.15102160733,28565.732,267.4185997323293,0.9274692160143301,1,1,1
2016-09-06,28833.15102160733,28635.66460202095,28649.562,13.897897979051777,0.048533526887554544,0,0,1
2016-09-07,28635.66460202095,28568.90991112211,28660.18,91.26977637788877,0.31947237980668175,0,1,0
2016-09-08,28568.90991112211,28416.48214663338,28622.379,205.8967596166185,0.7245680818412351,0,1,0
2016-09-09,28416.48214663338,28361.37529124883,28376.049,14.673536876169237,0.05173774799523524,0,0,1
2016-09-12,28361.37529124883,28295.112151726527,28360.283,65.17105139847263,0.23032618159987034,0,0,1
2016-09-13,28295.112151726527,28464.30857196265,28206.264,258.0449000876506,0.9065560100828336,1,0,0
2016-09-14,28464.30857196265,28191.950401094466,28430.047,238.09647390553437,0.8445548126967868,0,0,1
2016-09-15,28191.950401094466,28065.392924246164,28206.895,141.5016070038364,0.5041853765802465,0,1,0
2016-09-16,28065.392924246164,28321.67995250167,28173.7,147.9807337516686,0.5224998446414454,1,1,1
2016-09-19,28321.67995250167,28279.489072194385,28314.467,34.97772468061521,0.12368584379767603,0,0,1
